"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Fairfax","059","Nitrogen Oxides","CAP","4174.4379594","TON"
"Industrial Processes - NEC","VA","51","Halifax","083","Nitrogen Oxides","CAP","2759.401418","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Virginia Beach city","810","Nitrogen Oxides","CAP","2428.9473516","TON"
"Industrial Processes - Cement Manuf","VA","51","Botetourt","023","Nitrogen Oxides","CAP","2384.931","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Chesterfield","041","Nitrogen Oxides","CAP","2299.5160095","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Henrico","087","Nitrogen Oxides","CAP","2280.1230496","TON"
"Mobile - Commercial Marine Vessels","VA","51","Norfolk city","710","Nitrogen Oxides","CAP","2229.43570413","TON"
"Fuel Comb - Electric Generation - Oil","VA","51","Halifax","083","Nitrogen Oxides","CAP","2092.5","TON"
"Industrial Processes - Chemical Manuf","VA","51","Hopewell city","670","Nitrogen Oxides","CAP","2047.5","TON"
"Mobile - Non-Road Equipment - Diesel","VA","51","Fairfax","059","Nitrogen Oxides","CAP","1913.0664567","TON"
"Mobile - Commercial Marine Vessels","VA","51","Virginia Beach city","810","Nitrogen Oxides","CAP","1884.25694032","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Chesapeake city","550","Nitrogen Oxides","CAP","1881.3394684","TON"
"Mobile - Commercial Marine Vessels","VA","51","Northampton","131","Nitrogen Oxides","CAP","1784.044233","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Prince William","153","Nitrogen Oxides","CAP","1614.1055932","TON"
"Industrial Processes - Oil & Gas Production","VA","51","Buchanan","027","Nitrogen Oxides","CAP","1554.1603717","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Fairfax","059","Nitrogen Oxides","CAP","1535.3085436","TON"
"Mobile - Commercial Marine Vessels","VA","51","Newport News city","700","Nitrogen Oxides","CAP","1521.050122","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Norfolk city","710","Nitrogen Oxides","CAP","1473.0330596","TON"
"Fuel Comb - Electric Generation - Oil","VA","51","Chesterfield","041","Nitrogen Oxides","CAP","1463.212568","TON"
"Mobile - Commercial Marine Vessels","VA","51","York","199","Nitrogen Oxides","CAP","1362.32387","TON"
"Industrial Processes - Pulp & Paper","VA","51","Portsmouth city","740","Nitrogen Oxides","CAP","1322.2","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Richmond city","760","Nitrogen Oxides","CAP","1321.5487428","TON"
"Mobile - Commercial Marine Vessels","VA","51","Portsmouth city","740","Nitrogen Oxides","CAP","1266.79442421","TON"
"Industrial Processes - NEC","VA","51","Giles","071","Nitrogen Oxides","CAP","1246.6011","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Augusta","015","Nitrogen Oxides","CAP","1242.32275084","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Loudoun","107","Nitrogen Oxides","CAP","1227.3727474","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Newport News city","700","Nitrogen Oxides","CAP","1181.1490876","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Richmond city","760","Nitrogen Oxides","CAP","1164.9","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","VA","51","Pittsylvania","143","Nitrogen Oxides","CAP","1146.7902095","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Spotsylvania","177","Nitrogen Oxides","CAP","1131.35460279","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","VA","51","Albemarle","003","Nitrogen Oxides","CAP","1098.8610162","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","VA","51","Augusta","015","Nitrogen Oxides","CAP","1094.8139752","TON"
"Industrial Processes - Pulp & Paper","VA","51","Covington city","580","Nitrogen Oxides","CAP","1061.152805","TON"
"Industrial Processes - NEC","VA","51","King William","101","Nitrogen Oxides","CAP","1035.53022","TON"
