"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fires - Wildfires","VA","51","Rockingham","165","PM2.5 Primary (Filt + Cond)","CAP","1742.626746","TON"
"Fuel Comb - Residential - Wood","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","1338.8614","TON"
"Fires - Wildfires","VA","51","Warren","187","PM2.5 Primary (Filt + Cond)","CAP","830.12186","TON"
"Fires - Prescribed Fires","VA","51","Halifax","083","PM2.5 Primary (Filt + Cond)","CAP","804.81336","TON"
"Fires - Wildfires","VA","51","Caroline","033","PM2.5 Primary (Filt + Cond)","CAP","716.398657","TON"
"Fires - Wildfires","VA","51","Chesapeake city","550","PM2.5 Primary (Filt + Cond)","CAP","668.235765","TON"
"Industrial Processes - NEC","VA","51","Buchanan","027","PM2.5 Primary (Filt + Cond)","CAP","613.119085","TON"
"Fires - Wildfires","VA","51","Lee","105","PM2.5 Primary (Filt + Cond)","CAP","553.058837","TON"
"Dust - Paved Road Dust","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","495.345","TON"
"Fuel Comb - Residential - Wood","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","473.940874","TON"
"Fires - Wildfires","VA","51","Suffolk city","800","PM2.5 Primary (Filt + Cond)","CAP","469.697302","TON"
"Fuel Comb - Residential - Wood","VA","51","Henrico","087","PM2.5 Primary (Filt + Cond)","CAP","441.240482","TON"
"Fuel Comb - Residential - Wood","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","430.100774","TON"
"Fuel Comb - Residential - Wood","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","359.475938","TON"
"Fires - Prescribed Fires","VA","51","Charlotte","037","PM2.5 Primary (Filt + Cond)","CAP","346.74971","TON"
"Industrial Processes - Pulp & Paper","VA","51","Covington city","580","PM2.5 Primary (Filt + Cond)","CAP","322.3806055","TON"
"Fuel Comb - Residential - Wood","VA","51","Richmond city","760","PM2.5 Primary (Filt + Cond)","CAP","314.757489","TON"
"Dust - Paved Road Dust","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","306.983","TON"
"Fires - Wildfires","VA","51","Gloucester","073","PM2.5 Primary (Filt + Cond)","CAP","279.375888","TON"
"Commercial Cooking","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","272.66776","TON"
"Fires - Prescribed Fires","VA","51","Pittsylvania","143","PM2.5 Primary (Filt + Cond)","CAP","265.02422","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","VA","51","Giles","071","PM2.5 Primary (Filt + Cond)","CAP","262.016","TON"
"Fuel Comb - Residential - Wood","VA","51","Arlington","013","PM2.5 Primary (Filt + Cond)","CAP","261.211119","TON"
"Fuel Comb - Residential - Wood","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","260.913725","TON"
"Dust - Paved Road Dust","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","255.714","TON"
"Fires - Prescribed Fires","VA","51","Nottoway","135","PM2.5 Primary (Filt + Cond)","CAP","237.03144","TON"
"Agriculture - Crops & Livestock Dust","VA","51","Rockingham","165","PM2.5 Primary (Filt + Cond)","CAP","227.865","TON"
"Fires - Wildfires","VA","51","Louisa","109","PM2.5 Primary (Filt + Cond)","CAP","221.345168","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","216.424","TON"
"Fires - Prescribed Fires","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","206.32264","TON"
"Dust - Paved Road Dust","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","205.308","TON"
