"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Miscellaneous","VA","51","Augusta","015","PM2.5 Primary (Filt + Cond)","CAP","3146.5668671","TON"
"Miscellaneous","VA","51","Buchanan","027","PM2.5 Primary (Filt + Cond)","CAP","2481.7279224","TON"
"Miscellaneous","VA","51","Wise","195","PM2.5 Primary (Filt + Cond)","CAP","1554.89651828","TON"
"Miscellaneous","VA","51","Rockingham","165","PM2.5 Primary (Filt + Cond)","CAP","1442.6361902","TON"
"Miscellaneous","VA","51","Lee","105","PM2.5 Primary (Filt + Cond)","CAP","1377.4791956","TON"
"Miscellaneous","VA","51","Russell","167","PM2.5 Primary (Filt + Cond)","CAP","1268.57923034","TON"
"Miscellaneous","VA","51","Caroline","033","PM2.5 Primary (Filt + Cond)","CAP","1217.44112302","TON"
"Miscellaneous","VA","51","Page","139","PM2.5 Primary (Filt + Cond)","CAP","955.25831782","TON"
"Fuel Comb. Industrial","VA","51","Newport News city","700","PM2.5 Primary (Filt + Cond)","CAP","933.958343679","TON"
"Miscellaneous","VA","51","Pittsylvania","143","PM2.5 Primary (Filt + Cond)","CAP","862.3675379","TON"
"Miscellaneous","VA","51","Scott","169","PM2.5 Primary (Filt + Cond)","CAP","804.72545639","TON"
"Miscellaneous","VA","51","Fairfax","059","PM2.5 Primary (Filt + Cond)","CAP","731.866797","TON"
"Miscellaneous","VA","51","Smyth","173","PM2.5 Primary (Filt + Cond)","CAP","708.50155943","TON"
"Miscellaneous","VA","51","Bedford","019","PM2.5 Primary (Filt + Cond)","CAP","682.3517317","TON"
"Miscellaneous","VA","51","Halifax","083","PM2.5 Primary (Filt + Cond)","CAP","682.02965951","TON"
"Miscellaneous","VA","51","Fauquier","061","PM2.5 Primary (Filt + Cond)","CAP","632.9403727","TON"
"Miscellaneous","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","629.7514884","TON"
"Metals Processing","VA","51","Buchanan","027","PM2.5 Primary (Filt + Cond)","CAP","621.098735","TON"
"Miscellaneous","VA","51","Franklin","067","PM2.5 Primary (Filt + Cond)","CAP","576.9608257","TON"
"Miscellaneous","VA","51","Washington","191","PM2.5 Primary (Filt + Cond)","CAP","575.4507473","TON"
