"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Industrial Processes - NEC","VA","51","Buchanan","027","Sulfur Dioxide","CAP","4777.78","TON"
"Industrial Processes - NEC","VA","51","Giles","071","Sulfur Dioxide","CAP","3255.4806","TON"
"Industrial Processes - Cement Manuf","VA","51","Botetourt","023","Sulfur Dioxide","CAP","2471.617","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Montgomery","121","Sulfur Dioxide","CAP","1447.6586","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Hopewell city","670","Sulfur Dioxide","CAP","1402.63","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Chesterfield","041","Sulfur Dioxide","CAP","1351.5","TON"
"Fuel Comb - Comm/Institutional - Coal","VA","51","Covington city","580","Sulfur Dioxide","CAP","1144.12772139","TON"
"Fuel Comb - Electric Generation - Natural Gas","VA","51","York","199","Sulfur Dioxide","CAP","568.904761","TON"
"Industrial Processes - Pulp & Paper","VA","51","King William","101","Sulfur Dioxide","CAP","511.8234025","TON"
"Industrial Processes - NEC","VA","51","Halifax","083","Sulfur Dioxide","CAP","456.4642762","TON"
"Fuel Comb - Electric Generation - Oil","VA","51","York","199","Sulfur Dioxide","CAP","402.6","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Halifax","083","Sulfur Dioxide","CAP","399.7","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","Richmond city","760","Sulfur Dioxide","CAP","369.865","TON"
"Industrial Processes - Pulp & Paper","VA","51","Covington city","580","Sulfur Dioxide","CAP","341.63458","TON"
"Industrial Processes - NEC","VA","51","James city","095","Sulfur Dioxide","CAP","265.8843816","TON"
"Fuel Comb - Electric Generation - Oil","VA","51","Prince William","153","Sulfur Dioxide","CAP","234.900051","TON"
"Industrial Processes - Pulp & Paper","VA","51","Portsmouth city","740","Sulfur Dioxide","CAP","227","TON"
"Industrial Processes - Pulp & Paper","VA","51","Isle of Wight","093","Sulfur Dioxide","CAP","222.629541","TON"
"Fuel Comb - Electric Generation - Coal","VA","51","King George","099","Sulfur Dioxide","CAP","203","TON"
