"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Biogenics - Vegetation and Soil","VA","51","Halifax","083","Volatile Organic Compounds","CAP","17312","TON"
"Biogenics - Vegetation and Soil","VA","51","Pittsylvania","143","Volatile Organic Compounds","CAP","15778.5","TON"
"Biogenics - Vegetation and Soil","VA","51","Mecklenburg","117","Volatile Organic Compounds","CAP","14642.1","TON"
"Biogenics - Vegetation and Soil","VA","51","Brunswick","025","Volatile Organic Compounds","CAP","13745.9","TON"
"Biogenics - Vegetation and Soil","VA","51","Augusta","015","Volatile Organic Compounds","CAP","13208","TON"
"Biogenics - Vegetation and Soil","VA","51","Bath","017","Volatile Organic Compounds","CAP","12944.2","TON"
"Biogenics - Vegetation and Soil","VA","51","Albemarle","003","Volatile Organic Compounds","CAP","12872.6","TON"
"Biogenics - Vegetation and Soil","VA","51","Buckingham","029","Volatile Organic Compounds","CAP","12835.8","TON"
"Biogenics - Vegetation and Soil","VA","51","Rockingham","165","Volatile Organic Compounds","CAP","12743.1","TON"
"Biogenics - Vegetation and Soil","VA","51","Bedford","019","Volatile Organic Compounds","CAP","12644.6","TON"
"Biogenics - Vegetation and Soil","VA","51","Caroline","033","Volatile Organic Compounds","CAP","12176","TON"
"Biogenics - Vegetation and Soil","VA","51","Dinwiddie","053","Volatile Organic Compounds","CAP","11797","TON"
"Biogenics - Vegetation and Soil","VA","51","Sussex","183","Volatile Organic Compounds","CAP","11732.6","TON"
"Biogenics - Vegetation and Soil","VA","51","Louisa","109","Volatile Organic Compounds","CAP","11249.3","TON"
"Biogenics - Vegetation and Soil","VA","51","Charlotte","037","Volatile Organic Compounds","CAP","11202.3","TON"
"Biogenics - Vegetation and Soil","VA","51","Southampton","175","Volatile Organic Compounds","CAP","10902.2","TON"
"Biogenics - Vegetation and Soil","VA","51","Rockbridge","163","Volatile Organic Compounds","CAP","10845.2","TON"
"Biogenics - Vegetation and Soil","VA","51","Shenandoah","171","Volatile Organic Compounds","CAP","10844.9","TON"
"Biogenics - Vegetation and Soil","VA","51","Botetourt","023","Volatile Organic Compounds","CAP","10823","TON"
"Biogenics - Vegetation and Soil","VA","51","Franklin","067","Volatile Organic Compounds","CAP","10686.2","TON"
"Biogenics - Vegetation and Soil","VA","51","Alleghany","005","Volatile Organic Compounds","CAP","10611.2","TON"
"Biogenics - Vegetation and Soil","VA","51","Lunenburg","111","Volatile Organic Compounds","CAP","10387.2","TON"
"Biogenics - Vegetation and Soil","VA","51","Nelson","125","Volatile Organic Compounds","CAP","10341.9","TON"
"Biogenics - Vegetation and Soil","VA","51","Hanover","085","Volatile Organic Compounds","CAP","10177.8","TON"
"Biogenics - Vegetation and Soil","VA","51","Campbell","031","Volatile Organic Compounds","CAP","9504.74","TON"
"Biogenics - Vegetation and Soil","VA","51","Spotsylvania","177","Volatile Organic Compounds","CAP","9260.93","TON"
"Biogenics - Vegetation and Soil","VA","51","Amherst","009","Volatile Organic Compounds","CAP","9141.89","TON"
"Biogenics - Vegetation and Soil","VA","51","Chesterfield","041","Volatile Organic Compounds","CAP","9138.52","TON"
"Biogenics - Vegetation and Soil","VA","51","Amelia","007","Volatile Organic Compounds","CAP","8714.71","TON"
"Biogenics - Vegetation and Soil","VA","51","Craig","045","Volatile Organic Compounds","CAP","8662.82","TON"
"Biogenics - Vegetation and Soil","VA","51","Fauquier","061","Volatile Organic Compounds","CAP","8462.85","TON"
"Biogenics - Vegetation and Soil","VA","51","Scott","169","Volatile Organic Compounds","CAP","8351.84","TON"
"Biogenics - Vegetation and Soil","VA","51","Patrick","141","Volatile Organic Compounds","CAP","8330.33","TON"
"Biogenics - Vegetation and Soil","VA","51","Accomack","001","Volatile Organic Compounds","CAP","8309.04","TON"
"Biogenics - Vegetation and Soil","VA","51","Prince Edward","147","Volatile Organic Compounds","CAP","8301.8","TON"
"Biogenics - Vegetation and Soil","VA","51","Fluvanna","065","Volatile Organic Compounds","CAP","8149.6","TON"
"Biogenics - Vegetation and Soil","VA","51","Nottoway","135","Volatile Organic Compounds","CAP","8109.63","TON"
"Biogenics - Vegetation and Soil","VA","51","Buchanan","027","Volatile Organic Compounds","CAP","8004.14","TON"
"Biogenics - Vegetation and Soil","VA","51","Appomattox","011","Volatile Organic Compounds","CAP","7921.69","TON"
"Biogenics - Vegetation and Soil","VA","51","Highland","091","Volatile Organic Compounds","CAP","7558.4","TON"
"Biogenics - Vegetation and Soil","VA","51","Powhatan","145","Volatile Organic Compounds","CAP","7530.21","TON"
"Biogenics - Vegetation and Soil","VA","51","Cumberland","049","Volatile Organic Compounds","CAP","7484.41","TON"
"Biogenics - Vegetation and Soil","VA","51","Frederick","069","Volatile Organic Compounds","CAP","7453.13","TON"
"Biogenics - Vegetation and Soil","VA","51","Henry","089","Volatile Organic Compounds","CAP","7449.48","TON"
"Biogenics - Vegetation and Soil","VA","51","Giles","071","Volatile Organic Compounds","CAP","7301.24","TON"
"Biogenics - Vegetation and Soil","VA","51","Page","139","Volatile Organic Compounds","CAP","7283.1","TON"
"Biogenics - Vegetation and Soil","VA","51","Orange","137","Volatile Organic Compounds","CAP","7203.52","TON"
