"SECTOR","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Biogenics - Vegetation and Soil","VA","51","Albemarle","003","Volatile Organic Compounds","CAP","14452.65","TON"
"Biogenics - Vegetation and Soil","VA","51","Halifax","083","Volatile Organic Compounds","CAP","13306.45","TON"
"Biogenics - Vegetation and Soil","VA","51","Buckingham","029","Volatile Organic Compounds","CAP","12588.3","TON"
"Biogenics - Vegetation and Soil","VA","51","Nelson","125","Volatile Organic Compounds","CAP","12420.05","TON"
"Biogenics - Vegetation and Soil","VA","51","Pittsylvania","143","Volatile Organic Compounds","CAP","12305.7","TON"
"Biogenics - Vegetation and Soil","VA","51","Brunswick","025","Volatile Organic Compounds","CAP","12229.19","TON"
"Biogenics - Vegetation and Soil","VA","51","Bedford","019","Volatile Organic Compounds","CAP","12157.54","TON"
"Biogenics - Vegetation and Soil","VA","51","Franklin","067","Volatile Organic Compounds","CAP","10956.45","TON"
"Biogenics - Vegetation and Soil","VA","51","Louisa","109","Volatile Organic Compounds","CAP","10820.39","TON"
"Biogenics - Vegetation and Soil","VA","51","Caroline","033","Volatile Organic Compounds","CAP","10742.36","TON"
"Biogenics - Vegetation and Soil","VA","51","Bath","017","Volatile Organic Compounds","CAP","10740.1","TON"
"Biogenics - Vegetation and Soil","VA","51","Mecklenburg","117","Volatile Organic Compounds","CAP","10698.05","TON"
"Biogenics - Vegetation and Soil","VA","51","Amherst","009","Volatile Organic Compounds","CAP","10692.93","TON"
"Biogenics - Vegetation and Soil","VA","51","Sussex","183","Volatile Organic Compounds","CAP","10597.88","TON"
"Biogenics - Vegetation and Soil","VA","51","Botetourt","023","Volatile Organic Compounds","CAP","10408.09","TON"
"Biogenics - Vegetation and Soil","VA","51","Buchanan","027","Volatile Organic Compounds","CAP","10178.39","TON"
"Biogenics - Vegetation and Soil","VA","51","Rockingham","165","Volatile Organic Compounds","CAP","10034.16","TON"
